路線名稱,百公尺樁號KM,WGS84_E,WGS84_N
國10,33.2,120.4917852,22.8648041
國10,33.3,120.4922248,22.86560894
國10,33.4,120.4927889,22.86634464
國10,33.5,120.4933976,22.86704975
國10,33.6,120.4940057,22.86775524
國10,33.7,120.4945522,22.86850253
國10,33.764,120.4948413,22.86901428
國1,0.0,121.7357847,25.12289475
國1,0.1,121.7353083,25.12210391
國1,0.2,121.7347695,25.12134675
國1,0.3,121.7341543,25.1206393
國1,0.4,121.7334819,25.11997619
國1,0.5,121.7327743,25.11934397
國1,0.6,121.7320302,25.11874792
國1,0.7,121.73126,25.11817937
國1,0.8,121.7305038,25.11759582
國1,0.9,121.7298103,25.11695137
國1,1.0,121.7291954,25.11624361
國1,1.1,121.7286422,25.11549523
國1,1.2,121.7281601,25.11470671
國1,1.3,121.7277503,25.11388497
國1,1.4,121.7273932,25.11304288
國1,1.5,121.7270462,25.11219722
國1,1.6,121.7267012,25.1113509
國1,1.7,121.7263561,25.11050457
國1,1.8,121.7260111,25.10965824
國1,1.9,121.7256661,25.10881191
國1,2.0,121.725321,25.10796557
國1,2.1,121.7249737,25.10712002
國1,2.2,121.7245937,25.10628645
國1,2.3,121.7241111,25.10549894
國1,2.4,121.7234812,25.10480421
國1,2.5,121.7227109,25.10423872
國1,2.6,121.7218345,25.10381945
國1,2.7,121.7208964,25.10352948
國1,2.8,121.7199361,25.10330558
國1,2.9,121.7189727,25.10309245
國1,3.0,121.7180092,25.10287932
國1,3.1,121.7170458,25.10266618
國1,3.2,121.7160824,25.10245303
國1,3.3,121.715119,25.10223988
國1,3.4,121.7141556,25.10202671
國1,3.5,121.7131922,25.10181355
國1,3.6,121.7122292,25.10159893
國1,3.7,121.7112796,25.1013406
國1,3.8,121.7103642,25.10099558
國1,3.9,121.7095031,25.10054971
國1,4.0,121.708708,25.10001172
國1,4.1,121.7079711,25.09940797
國1,4.2,121.7072494,25.09878907
國1,4.3,121.7064873,25.09821251
國1,4.4,121.705644,25.09774044
國1,4.5,121.7047068,25.09745379
國1,4.6,121.7037225,25.09737138
國1,4.7,121.702737,25.09746448
國1,4.8,121.7017534,25.09757617
國1,4.9,121.7007638,25.09758075
國1,5.0,121.6998019,25.09737331
國1,5.1,121.69893,25.09694978
國1,5.2,121.6981965,25.09634574
國1,5.3,121.6976499,25.09559519
國1,5.4,121.6972675,25.09476336
國1,5.5,121.6969568,25.09390629
國1,5.6,121.6966537,25.09304694
國1,5.7,121.6963506,25.09218759
國1,5.8,121.6960475,25.09132824
國1,5.9,121.6957387,25.09047064
國1,6.0,121.6953307,25.08964963
國1,6.1,121.6947273,25.0889371
國1,6.2,121.6939435,25.08838856
國1,6.3,121.6930329,25.08803702
國1,6.4,121.6920732,25.08781168
國1,6.5,121.6911095,25.08760047
國1,6.6,121.6901458,25.08738926
國1,6.7,121.6891821,25.08717804
國1,6.8,121.6882184,25.08696681
國1,6.9,121.6872546,25.08675567
國1,7.0,121.6862896,25.08654947
國1,7.1,121.6853245,25.08634326
國1,7.2,121.6843551,25.08615453
國1,7.3,121.6833762,25.08601275
國1,7.4,121.6823897,25.08592533
國1,7.5,121.6813995,25.08588251
國1,7.6,121.6804085,25.08586211
國1,7.7,121.6794177,25.08583458
國1,7.8,121.678429,25.08577006
國1,7.9,121.6774462,25.08565333
國1,8.0,121.6764754,25.08547136
國1,8.1,121.6755189,25.08523485
國1,8.2,121.6745826,25.084939
國1,8.3,121.6736699,25.08458731
國1,8.4,121.6727797,25.08419047
國1,8.5,121.6719127,25.08375304
國1,8.6,121.6710659,25.08328378
國1,8.7,121.6702326,25.08279495
國1,8.8,121.6694092,25.08229227
國1,8.9,121.6685877,25.08178697
國1,9.0,121.6677703,25.0812763
國1,9.1,121.6669529,25.08076562
國1,9.2,121.6661354,25.08025494
國1,9.3,121.6653198,25.07974193
國1,9.4,121.6645046,25.07922826
國1,9.5,121.6636894,25.07871459
國1,9.6,121.6628743,25.07820091
國1,9.7,121.6620591,25.07768723
國1,9.8,121.6612439,25.07717362
國1,9.9,121.6604177,25.0766753
國1,10.0,121.6595722,25.07620489
國1,10.1,121.658705,25.07576829
國1,10.2,121.6578185,25.07536464
國1,10.3,121.6569087,25.07500684
國1,10.4,121.6559811,25.07468916
國1,10.5,121.6550376,25.07441327
國1,10.6,121.6540804,25.07417968
國1,10.7,121.6531127,25.07398445
國1,10.8,121.6521407,25.07380817
國1,10.9,121.6511654,25.07364683
國1,11.0,121.6501888,25.07349255
國1,11.1,121.6492121,25.07333827
國1,11.2,121.648236,25.0731816
國1,11.3,121.6472599,25.0730243
國1,11.4,121.6462838,25.07286699
國1,11.5,121.6453078,25.07270967
國1,11.6,121.6443318,25.07255198
國1,11.7,121.6433563,25.07239195
國1,11.8,121.6423808,25.07223191
國1,11.9,121.641408,25.07205896
國1,12.0,121.6404498,25.07182959
國1,12.1,121.6395278,25.0714998
國1,12.2,121.6386511,25.07108005
國1,12.3,121.6378309,25.07057375
國1,12.4,121.6370507,25.07001714
國1,12.5,121.6362844,25.0694445
國1,12.6,121.635498,25.06889529
國1,12.7,121.6346712,25.06839797
國1,12.8,121.633794,25.06797856
國1,12.9,121.632879,25.06763243
國1,13.0,121.6319309,25.06737036
國1,13.1,121.6309603,25.06718921
國1,13.2,121.6299767,25.06707851
國1,13.3,121.6289899,25.06699473
國1,13.4,121.6280026,25.06691487
國1,13.5,121.6270153,25.06683499
國1,13.6,121.626028,25.06675511
國1,13.7,121.6250416,25.06666717
國1,13.8,121.6240545,25.06658583
國1,13.9,121.6230673,25.06650448
國1,14.0,121.6220802,25.06642323
國1,14.1,121.6210924,25.06634864
國1,14.2,121.6201046,25.06627403
國1,14.3,121.6191168,25.06619942
國1,14.4,121.6181291,25.06612406
國1,14.5,121.6171432,25.06603165
國1,14.6,121.6161572,25.06593924
國1,14.7,121.6151732,25.0658316
國1,14.8,121.6141907,25.06571253
國1,14.9,121.6132085,25.065591
國1,15.0,121.6122269,25.06546641
國1,15.1,121.6112452,25.06534164
國1,15.2,121.6102635,25.06521686
國1,15.3,121.6092819,25.06509208
國1,15.4,121.6083002,25.06496728
國1,15.5,121.6073186,25.06484248
國1,15.6,121.606337,25.06471768
國1,15.7,121.6053553,25.06459287
國1,15.8,121.6043737,25.06446805
國1,15.9,121.603392,25.06434322
國1,16.0,121.6024099,25.06422172
國1,16.1,121.6014277,25.06410068
國1,16.2,121.6004467,25.06397226
國1,16.3,121.5994629,25.06386375
國1,16.4,121.5984759,25.06378206
國1,16.5,121.5974856,25.06374896
國1,16.6,121.5964946,25.06376004
國1,16.7,121.5955059,25.06382022
國1,16.8,121.5945215,25.06392294
國1,16.9,121.5935442,25.06407129
國1,17.0,121.5925755,25.06426095
國1,17.1,121.5916192,25.06449732
國1,17.2,121.5906755,25.06477295
國1,17.3,121.5897491,25.06509357
國1,17.4,121.5888368,25.06544612
國1,17.5,121.5879331,25.06581686
國1,17.6,121.5870293,25.06618759
國1,17.7,121.5861256,25.06655832
國1,17.8,121.5852219,25.06692904
國1,17.9,121.5843181,25.06729976
國1,18.0,121.5834144,25.06767048
國1,18.1,121.5825106,25.06804118
國1,18.2,121.5816066,25.06841139
國1,18.3,121.5806958,25.06876759
國1,18.4,121.5797722,25.06909503
國1,18.5,121.5788395,25.06940056
國1,18.6,121.5778978,25.06968222
國1,18.7,121.5769481,25.06994068
國1,18.8,121.5759904,25.07017324
國1,18.9,121.5750261,25.07038192
國1,19.0,121.5740552,25.07056333
國1,19.1,121.5730796,25.07072266
國1,19.2,121.5720986,25.07085125
國1,19.3,121.5711142,25.0709568
國1,19.4,121.5701271,25.07103717
國1,19.5,121.5691379,25.07109337
國1,19.6,121.5681474,25.07112435
國1,19.7,121.5671563,25.07112745
國1,19.8,121.5661652,25.07111847
國1,19.9,121.5651741,25.07110357
國1,20.0,121.564183,25.0710913
國1,20.1,121.5631924,25.07111668
國1,20.2,121.5622089,25.07122545
國1,20.3,121.5612418,25.07142154
國1,20.4,121.5602996,25.07170088
國1,20.5,121.5593737,25.07202301
國1,20.6,121.5584488,25.07234787
國1,20.7,121.5575105,25.07263743
國1,20.8,121.5565471,25.07284728
國1,20.9,121.555566,25.07297253
國1,21.0,121.5545767,25.07302509
國1,21.1,121.5535857,25.07304525
國1,21.2,121.5525947,25.07306447
國1,21.3,121.5516036,25.0730831
國1,21.4,121.5506126,25.07310173
國1,21.5,121.5496216,25.07312035
國1,21.6,121.5486306,25.07313896
國1,21.7,121.5476395,25.07315757
國1,21.8,121.5466485,25.07317617
國1,21.9,121.5456575,25.07319476
國1,22.0,121.5446665,25.07321335
國1,22.1,121.5436754,25.07323192
國1,22.2,121.5426844,25.0732505
國1,22.3,121.5416934,25.07326906
國1,22.4,121.5407024,25.07328219
國1,22.5,121.5397115,25.07326851
國1,22.6,121.5387229,25.07320863
國1,22.7,121.5377392,25.07309807
國1,22.8,121.5367574,25.0729743
國1,22.9,121.5357758,25.07284854
國1,23.0,121.5347942,25.07272365
國1,23.1,121.5338093,25.07262398
國1,23.2,121.5328196,25.07263077
國1,23.3,121.5318444,25.07278346
國1,23.4,121.5309058,25.07307165
國1,23.5,121.5299924,25.07342219
國1,23.6,121.529079,25.07377272
國1,23.7,121.5281656,25.07412325
國1,23.8,121.5272522,25.07447378
國1,23.9,121.5263388,25.07482429
國1,24.0,121.5254253,25.0751748
國1,24.1,121.5245103,25.07552184
